Model,Training set size (s),replicate_num,Window Size,variable,value,Post-processing,Metric
ConvTemporalConvNet,1800.0,3,2000,character_error_rate,15.878123044967651,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,4,2000,character_error_rate,16.50107204914093,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,2000,character_error_rate,20.45421153306961,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,1,4000,character_error_rate,11.35916635394096,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,2,4000,character_error_rate,16.237568855285637,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,3,4000,character_error_rate,15.500357747077938,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,4,4000,character_error_rate,13.65924924612045,False,Character Error Rate (%)
ConvTemporalConvNet,1800.0,5,4000,character_error_rate,16.94121211767196,False,Character Error Rate (%)
TweetyNet,1800.0,1,64,character_error_rate_tfm,3.20069529116153,True,Character Error Rate (%)
TweetyNet,1800.0,2,64,character_error_rate_tfm,3.27756777405738,True,Character Error Rate (%)
TweetyNet,1800.0,3,64,character_error_rate_tfm,3.25652211904525,True,Character Error Rate (%)
TweetyNet,1800.0,4,64,character_error_rate_tfm,3.08348052203655,True,Character Error Rate (%)
TweetyNet,1800.0,5,64,character_error_rate_tfm,2.8067959472537,True,Character Error Rate (%)
TweetyNet,1800.0,1,176,character_error_rate_tfm,1.4132060110569,True,Character Error Rate (%)
TweetyNet,1800.0,2,176,character_error_rate_tfm,1.72562729567289,True,Character Error Rate (%)
TweetyNet,1800.0,3,176,character_error_rate_tfm,1.8436666578054401,True,Character Error Rate (%)
TweetyNet,1800.0,4,176,character_error_rate_tfm,2.10379753261804,True,Character Error Rate (%)
TweetyNet,1800.0,5,176,character_error_rate_tfm,2.02509704977273,True,Character Error Rate (%)
TweetyNet,1800.0,1,1000,character_error_rate_tfm,1.52548793703317,True,Character Error Rate (%)
TweetyNet,1800.0,2,1000,character_error_rate_tfm,2.19752490520477,True,Character Error Rate (%)
TweetyNet,1800.0,3,1000,character_error_rate_tfm,1.40847424045205,True,Character Error Rate (%)
TweetyNet,1800.0,4,1000,character_error_rate_tfm,1.72233860939741,True,Character Error Rate (%)
TweetyNet,1800.0,5,1000,character_error_rate_tfm,1.76151003688573,True,Character Error Rate (%)
TweetyNet,1800.0,1,2000,character_error_rate_tfm,1.39538366347551,True,Character Error Rate (%)
TweetyNet,1800.0,2,2000,character_error_rate_tfm,1.6457760706543902,True,Character Error Rate (%)
TweetyNet,1800.0,3,2000,character_error_rate_tfm,1.49435279890894,True,Character Error Rate (%)
TweetyNet,1800.0,4,2000,character_error_rate_tfm,1.6612563282251298,True,Character Error Rate (%)
TweetyNet,1800.0,5,2000,character_error_rate_tfm,1.77010428160429,True,Character Error Rate (%)
TweetyNet,1800.0,1,4000,character_error_rate_tfm,1.24891335144639,True,Character Error Rate (%)
TweetyNet,1800.0,2,4000,character_error_rate_tfm,1.41937164589762,True,Character Error Rate (%)
TweetyNet,1800.0,3,4000,character_error_rate_tfm,1.4686684124171698,True,Character Error Rate (%)
TweetyNet,1800.0,4,4000,character_error_rate_tfm,1.1753845959901799,True,Character Error Rate (%)
TweetyNet,1800.0,5,4000,character_error_rate_tfm,1.52761284261941,True,Character Error Rate (%)
TemporalConvNet,1800.0,1,64,character_error_rate_tfm,3.76114584505558,True,Character Error Rate (%)
TemporalConvNet,1800.0,2,64,character_error_rate_tfm,4.3017953634262005,True,Character Error Rate (%)
TemporalConvNet,1800.0,3,64,character_error_rate_tfm,4.053521528840061,True,Character Error Rate (%)
TemporalConvNet,1800.0,4,64,character_error_rate_tfm,5.26380687952041,True,Character Error Rate (%)
TemporalConvNet,1800.0,5,64,character_error_rate_tfm,5.76972067356109,True,Character Error Rate (%)
TemporalConvNet,1800.0,1,176,character_error_rate_tfm,3.4500014036893805,True,Character Error Rate (%)
TemporalConvNet,1800.0,2,176,character_error_rate_tfm,4.46636974811553,True,Character Error Rate (%)
TemporalConvNet,1800.0,3,176,character_error_rate_tfm,3.85608114302158,True,Character Error Rate (%)
TemporalConvNet,1800.0,4,176,character_error_rate_tfm,4.0868766605854,True,Character Error Rate (%)
TemporalConvNet,1800.0,5,176,character_error_rate_tfm,5.28098903596401,True,Character Error Rate (%)
TemporalConvNet,1800.0,1,1000,character_error_rate_tfm,2.06007100641727,True,Character Error Rate (%)
TemporalConvNet,1800.0,2,1000,character_error_rate_tfm,2.57543344050645,True,Character Error Rate (%)
TemporalConvNet,1800.0,3,1000,character_error_rate_tfm,2.68680844455957,True,Character Error Rate (%)
TemporalConvNet,1800.0,4,1000,character_error_rate_tfm,3.41165103018283,True,Character Error Rate (%)
TemporalConvNet,1800.0,5,1000,character_error_rate_tfm,3.2296381890773698,True,Character Error Rate (%)
TemporalConvNet,1800.0,1,2000,character_error_rate_tfm,2.1863110363483402,True,Character Error Rate (%)
TemporalConvNet,1800.0,2,2000,character_error_rate_tfm,2.5467611849308,True,Character Error Rate (%)
TemporalConvNet,1800.0,3,2000,character_error_rate_tfm,2.3892156779766,True,Character Error Rate (%)
TemporalConvNet,1800.0,4,2000,character_error_rate_tfm,2.55460161715745,True,Character Error Rate (%)
