Model,Training set size (s),replicate_num,Loss,variable,value,Post-processing,Metric
ConvTemporalConvNet,1800.0,5,CE+gsTMSE,character_error_rate_tfm,1.73099916428327,True,Character Error Rate (%)
TweetyNet,1800.0,1,CE,precision,93.0871307849884,False,Precision (%)
TweetyNet,1800.0,2,CE,precision,92.1176254749298,False,Precision (%)
TweetyNet,1800.0,3,CE,precision,90.8213436603546,False,Precision (%)
TweetyNet,1800.0,4,CE,precision,91.02349281311037,False,Precision (%)
TweetyNet,1800.0,5,CE,precision,89.05611634254456,False,Precision (%)
TweetyNet,1800.0,1,CE+TMSE,precision,94.0782368183136,False,Precision (%)
TweetyNet,1800.0,2,CE+TMSE,precision,94.7248101234436,False,Precision (%)
TweetyNet,1800.0,3,CE+TMSE,precision,95.2000617980957,False,Precision (%)
TweetyNet,1800.0,4,CE+TMSE,precision,94.86677646636964,False,Precision (%)
TweetyNet,1800.0,5,CE+TMSE,precision,94.0298318862915,False,Precision (%)
TweetyNet,1800.0,1,CE+gsTMSE,precision,94.69667673110962,False,Precision (%)
TweetyNet,1800.0,2,CE+gsTMSE,precision,93.71562600135805,False,Precision (%)
TweetyNet,1800.0,3,CE+gsTMSE,precision,95.03853917121889,False,Precision (%)
TweetyNet,1800.0,4,CE+gsTMSE,precision,95.19632458686827,False,Precision (%)
TweetyNet,1800.0,5,CE+gsTMSE,precision,94.89182829856871,False,Precision (%)
ConvTemporalConvNet,1800.0,1,CE,precision,89.5159363746643,False,Precision (%)
ConvTemporalConvNet,1800.0,2,CE,precision,88.29746842384338,False,Precision (%)
ConvTemporalConvNet,1800.0,3,CE,precision,88.88794779777527,False,Precision (%)
ConvTemporalConvNet,1800.0,4,CE,precision,89.06678557395935,False,Precision (%)
ConvTemporalConvNet,1800.0,5,CE,precision,86.40053272247314,False,Precision (%)
ConvTemporalConvNet,1800.0,1,CE+TMSE,precision,91.26429557800292,False,Precision (%)
ConvTemporalConvNet,1800.0,2,CE+TMSE,precision,90.98802804946901,False,Precision (%)
ConvTemporalConvNet,1800.0,3,CE+TMSE,precision,90.9429371356964,False,Precision (%)
ConvTemporalConvNet,1800.0,4,CE+TMSE,precision,90.8174693584442,False,Precision (%)
ConvTemporalConvNet,1800.0,5,CE+TMSE,precision,90.81128835678099,False,Precision (%)
